lawyer_category,specialization,primary_expertise,specific_issues_handled,legal_keywords
Labour,Labour & Employment Law,labour disputes workplace harassment employment contracts,"salary disputes, wrongful termination, workplace bullying, sexual harassment, overtime claims, employment contract violations, workers compensation, maternity benefits","labour law, employment disputes, workplace rights, salary recovery, wrongful dismissal, harassment claims, employment contracts, workers rights, industrial law, labor violations"
Labour,Labour Law & Industrial Relations,industrial disputes trade union matters employment law,"factory worker issues, trade union disputes, industrial accidents, labor strikes, collective bargaining, industrial safety violations, worker layoffs","industrial relations, trade unions, labor strikes, collective bargaining, industrial disputes, factory workers, manufacturing disputes, labor negotiations, industrial safety, worker unions"
Labour,Employment & Workplace Law,employment contracts workplace discrimination startup compliance,"job contract issues, workplace discrimination, gender bias, age discrimination, startup HR compliance, employee policy violations, remote work disputes","employment law, workplace discrimination, startup legal, HR compliance, employee rights, job contracts, workplace policies, discrimination claims, employee disputes, startup employment"
Property,Property & Housing Law,property disputes real estate transactions housing rights,"landlord-tenant disputes, property ownership issues, housing society problems, rent disputes, property documentation, real estate fraud, property inheritance","property law, real estate disputes, landlord tenant, rent control, property ownership, housing rights, real estate transactions, property documentation, housing society, property inheritance"
Property,Real Estate & Property Law,property documentation land disputes real estate compliance,"property registration, land title issues, property boundary disputes, RERA compliance, property investment fraud, land acquisition issues","real estate law, property registration, land disputes, property documentation, RERA compliance, property investment, land acquisition, property boundaries, real estate fraud, property titles"
Property,Property Disputes & RERA,RERA compliance builder disputes commercial property,"builder delays, apartment booking disputes, commercial lease issues, RERA complaints, property construction defects, real estate project delays","RERA law, builder disputes, apartment booking, commercial property, real estate projects, property construction, building delays, real estate investment, property development, construction law"
Family,Women's Rights & Family Law,women's rights domestic violence family disputes,"domestic violence cases, dowry harassment, women's safety, divorce proceedings, child custody battles, maintenance claims, family property disputes","family law, domestic violence, women's rights, dowry harassment, divorce cases, child custody, maintenance, family disputes, matrimonial disputes, women's safety, marital issues"
Family,Family Law & Child Custody,divorce proceedings child custody adoption,"divorce petitions, child custody arrangements, adoption procedures, maintenance cases, family mediation, alimony disputes, marital property division","divorce law, child custody, adoption law, family mediation, alimony, maintenance, marital property, family courts, matrimonial law, child welfare, family disputes"
Consumer,Consumer Protection,product liability service deficiency e-commerce disputes,"defective products, poor service quality, online shopping fraud, consumer complaints, warranty issues, product safety, e-commerce refund problems","consumer rights, product defects, service quality, online fraud, consumer complaints, warranty claims, product liability, e-commerce disputes, consumer protection act, refund issues"
Consumer,Consumer Rights & Banking Law,consumer disputes banking issues insurance claims,"bank fraud, credit card disputes, insurance claim rejections, loan harassment, banking service complaints, financial fraud, investment fraud","consumer law, banking disputes, credit card fraud, insurance claims, loan issues, bank complaints, financial fraud, investment disputes, banking rights, insurance law"
Criminal,Criminal Defence Law,criminal charges theft assault fraud,"theft charges, assault cases, fraud allegations, criminal defense, bail applications, criminal appeals, juvenile crimes, white collar crimes","criminal law, theft cases, assault charges, fraud defense, criminal appeal, bail application, criminal defense, white collar crime, criminal procedure, criminal justice"
Criminal,White Collar Crime,financial crimes corporate fraud money laundering,"embezzlement, corporate fraud, money laundering, tax evasion, securities fraud, insider trading, corruption cases, financial crimes","white collar crime, financial fraud, embezzlement, money laundering, tax evasion, securities fraud, insider trading, corruption, corporate crime, financial crimes"
Criminal,Cyber Crime Law,online fraud cyber security digital crimes,"cyberbullying, online fraud, identity theft, digital harassment, data breach, hacking cases, social media crimes, online defamation","cyber crime, online fraud, cyberbullying, identity theft, digital crimes, hacking, data breach, social media law, cyber security, digital harassment"
Corporate,Corporate Law & Governance,company incorporation mergers acquisitions,"company registration, mergers and acquisitions, corporate governance, board disputes, shareholder agreements, joint ventures, corporate restructuring","corporate law, company incorporation, mergers acquisitions, corporate governance, shareholder rights, joint ventures, board disputes, corporate compliance, business law"
Corporate,Corporate Finance & Securities,securities law IPO compliance investment banking,"IPO preparation, securities compliance, investment banking, private equity, venture capital, corporate finance, regulatory compliance, capital markets","securities law, IPO compliance, corporate finance, investment banking, private equity, venture capital, capital markets, securities regulation, financial compliance"
Corporate,Startup & Business Law,startup legal compliance business formation,"startup incorporation, funding agreements, employee stock options, business contracts, commercial agreements, partnership disputes, business dissolution","startup law, business formation, funding agreements, commercial contracts, partnership law, business compliance, entrepreneurship law, business disputes, contract law"
Tax,Income Tax Law,income tax disputes tax planning,"income tax notices, tax assessments, tax appeals, tax planning, TDS disputes, advance tax, tax refunds, tax compliance","income tax, tax disputes, tax planning, tax compliance, TDS issues, tax appeals, tax assessment, tax refunds, direct tax, tax litigation"
Tax,GST & Indirect Tax,GST compliance indirect tax disputes,"GST registration, GST returns, GST audits, customs duty, excise duty, service tax, VAT disputes, indirect tax compliance","GST law, indirect tax, customs duty, excise duty, service tax, VAT, tax compliance, GST disputes, indirect tax disputes, tax audit"
Tax,International Tax Law,international taxation transfer pricing,"transfer pricing, international tax treaties, foreign income, FEMA compliance, international tax planning, cross-border transactions","international tax, transfer pricing, tax treaties, FEMA compliance, foreign income, cross border tax, international tax planning, global taxation"
Intellectual Property,Patent & Trademark Law,intellectual property protection patent filing,"patent applications, trademark registration, copyright protection, IP infringement, brand protection, design registration, trade secrets","patent law, trademark registration, copyright protection, IP infringement, brand protection, design patents, trade secrets, intellectual property rights"
Intellectual Property,Copyright & Media Law,copyright infringement media disputes,"copyright violations, media disputes, entertainment law, publishing rights, digital content protection, licensing agreements, royalty disputes","copyright law, media disputes, entertainment law, publishing rights, digital content, licensing agreements, royalty disputes, content protection"
Civil Rights,Human Rights Law,civil liberties constitutional rights,"human rights violations, discrimination cases, constitutional rights, civil liberties, fundamental rights, public interest litigation","human rights, civil liberties, constitutional rights, discrimination law, fundamental rights, public interest litigation, civil rights violations, equality rights"
Civil Rights,Disability Rights Law,disability rights accessibility compliance,"disability discrimination, accessibility issues, special needs advocacy, disability benefits, rehabilitation rights, inclusive education","disability rights, accessibility law, special needs advocacy, disability discrimination, inclusive education, disability benefits, rehabilitation rights"
Immigration,Immigration & Visa Law,visa applications citizenship matters,"visa applications, work permits, citizenship applications, immigration appeals, deportation defense, asylum cases, family reunification","immigration law, visa applications, citizenship, work permits, deportation defense, asylum law, family immigration, immigration appeals"
Banking,Banking & Finance Law,banking disputes financial regulations,"banking disputes, loan recovery, financial fraud, banking regulations, credit issues, mortgage disputes, financial compliance","banking law, loan recovery, financial disputes, banking regulations, credit issues, mortgage law, financial compliance, banking fraud"
Insurance,Insurance Law,insurance claims policy disputes,"insurance claim rejections, policy disputes, life insurance, health insurance, motor insurance, insurance fraud, premium disputes","insurance law, insurance claims, policy disputes, insurance fraud, life insurance, health insurance, motor insurance, premium issues"
Medical,Medical Negligence Law,medical malpractice healthcare disputes,"medical negligence, hospital negligence, doctor malpractice, medical compensation, healthcare disputes, patient rights, medical ethics","medical negligence, medical malpractice, hospital negligence, patient rights, healthcare law, medical compensation, medical ethics, healthcare disputes"
Environmental,Environmental Law,pollution control environmental compliance,"pollution cases, environmental clearances, waste management, forest rights, green tribunal cases, climate change law, environmental compliance","environmental law, pollution control, environmental clearances, waste management, forest rights, green tribunal, climate law, environmental compliance"
Cyber Law,Information Technology Law,data protection cyber security legal issues,"data protection, privacy law, cyber security, IT compliance, software licensing, digital rights, online privacy, technology disputes","cyber law, data protection, privacy law, IT compliance, software licensing, digital rights, online privacy, technology law, information technology"
Constitutional,Constitutional Law,constitutional matters fundamental rights,"constitutional challenges, fundamental rights, judicial review, constitutional interpretation, government actions, legislative challenges","constitutional law, fundamental rights, judicial review, constitutional interpretation, government law, legislative challenges, constitutional matters"
International,International Law,cross-border legal matters international disputes,"international contracts, cross-border disputes, international arbitration, trade disputes, diplomatic issues, international treaties","international law, cross border disputes, international arbitration, trade law, diplomatic law, international treaties, global legal matters"
Trade,Trade & Commerce Law,trade regulations commercial disputes,"trade agreements, commercial contracts, export-import law, trade disputes, commercial arbitration, business transactions, supply chain law","trade law, commercial law, export import, trade agreements, commercial contracts, business law, trade disputes, commercial arbitration"
Education,Education Law,educational rights academic disputes,"student rights, educational discrimination, academic appeals, school disputes, university matters, educational policies, scholarship issues","education law, student rights, academic disputes, educational discrimination, school law, university matters, educational policies"
Sports,Sports Law,sports regulations athlete rights,"sports contracts, athlete rights, sports governance, doping cases, sports arbitration, sponsorship disputes, sports injury compensation","sports law, athlete rights, sports contracts, sports governance, doping cases, sports arbitration, sponsorship law, sports disputes"
Entertainment,Entertainment Law,media entertainment industry legal matters,"film industry disputes, celebrity rights, music law, broadcasting rights, talent management, entertainment contracts, royalty issues","entertainment law, film industry, celebrity rights, music law, broadcasting rights, talent contracts, royalty law, media law"
Transportation,Transportation Law,transport regulations logistics law,"transport licensing, vehicle accidents, logistics disputes, aviation law, shipping law, transport regulations, traffic violations","transportation law, vehicle accidents, logistics law, aviation law, shipping law, transport regulations, traffic law, transport disputes"
Energy,Energy Law,energy sector regulations power disputes,"power sector disputes, renewable energy, oil and gas law, energy regulations, electricity law, energy contracts, mining law","energy law, power sector, renewable energy, oil gas law, energy regulations, electricity law, energy contracts, mining law"
Public Interest,Public Interest Law,social justice public welfare,"public interest litigation, social justice, welfare schemes, government accountability, transparency issues, right to information, public welfare","public interest law, social justice, welfare law, government accountability, transparency law, RTI, public welfare, social advocacy"